"quotation_id","lob_name","lead","shipment_type","cargo_type","packages","gross_weight_in_kgs","volume_cbm","charge_weight_in_kgs","movement_type","carrier","transit_destination","transit_days","origin","place_of_receipt","port_of_loading","port_of_discharge","place_of_delivery","final_destination","quotation_id-2","party_name","party_branch","quoted_by","sales_coordinator"
3389,"Sea Export","LEAD/4/24-25","International","FCL","0","20000.000","0.000","20000.000","Port-to-Port","","","","","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Port Klang (Pelabuhan Klang)(MYPKG)","Port Klang (Pelabuhan Klang)(MYPKG)","Port Klang (Pelabuhan Klang)(MYPKG)",3389,"Maruti Agro products SG","Mumbai","Sachin Gole",NULL
3391,"Sea Export","","International","FCL","0","200.000","240.000","240000.000","Door-to-Door","A P L Ltd.","Chicago","20","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Chicago(USCHI)","Chicago(USCHI)","Chicago(USCHI)",3391,"4S JINAL PRODUCTS PRIVATE LIMITED - TEST","Delhi","Nandani",NULL
3392,"Sea Export","","International","FCL","0","200.000","240.000","240000.000","Door-to-Door","A P L Ltd.","Chicago","20","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Chicago(USCHI)","Chicago(USCHI)","Chicago(USCHI)",3392,"4S JINAL PRODUCTS PRIVATE LIMITED - TEST","Delhi","Nandani",NULL
3392,"Sea Export","","International","FCL","0","200.000","240.000","240000.000","Door-to-Door","C G M","Chicago","20","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Chicago(USCHI)","Chicago(USCHI)","Chicago(USCHI)",3392,"4S JINAL PRODUCTS PRIVATE LIMITED - TEST","Delhi","Nandani",NULL
3393,"Sea Export","","International","FCL","0","200.000","240.000","240000.000","Door-to-Door","Able Container Line","Chicago","20","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Chicago(USCHI)","Chicago(USCHI)","Chicago(USCHI)",3393,"4S JINAL PRODUCTS PRIVATE LIMITED - TEST","Delhi",NULL,"Aarti Parmar"
3393,"Sea Export","","International","FCL","0","200.000","240.000","240000.000","Door-to-Door","C G M","Chicago","20","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Chicago(USCHI)","Chicago(USCHI)","Chicago(USCHI)",3393,"4S JINAL PRODUCTS PRIVATE LIMITED - TEST","Delhi",NULL,"Aarti Parmar"
3394,"Air Export","","International","Loose","11","100.000","0.000","100.000","Door-to-Door","Air India","","","Delhi(INDEL)","Delhi(INDEL)","Delhi(INDEL)","Berlin(DEBER)","Berlin(DEBER)","Berlin(DEBER)",3394,"TATA INDIA PVT LTD","Delhi","Naveen Kumar","Aarti Parmar"
3395,"Sea Export","","International","FCL","10","1500.000","0.080","1500.000","Port-to-Port","","","","","New Orleans(USMSY)","New Orleans(USMSY)","CHENNAI SEA(INSBI)","CHENNAI SEA(INSBI)","CHENNAI SEA(INSBI)",3395,"A R Enterprises","NewYork","sneha",NULL
3396,"Sea Export","","International","FCL","10","1500.000","0.080","1500.000","Port-to-Port","","","","","New Orleans(USMSY)","New Orleans(USMSY)","CHENNAI SEA(INSBI)","CHENNAI SEA(INSBI)","CHENNAI SEA(INSBI)",3396,"A R Enterprises","CHicago","sneha",NULL
3397,"Sea Import","","International","FCL","0","0.000","0.000","0.000","Port-to-Port","","","","","New York(USNYC)","New York(USNYC)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)",3397,"Atlas Forwarders ltd","Mumbai","amitk",NULL
3398,"CCL Sea Import","","International","LCL","0","0.000","0.000","0.000","","","","","","","","","","",3398,"SHM Logistics","Chennai","Honest Murugan",NULL
3399,"CCL Sea Import","","International","LCL","0","0.000","0.000","0.000","","","","","","","","","","",3399,"SHM Logistics","Chennai","Honest Murugan",NULL
3400,"CCL Sea Export","","International","FCL","0","0.000","0.000","0.000","","","","","","","","","","",3400,"SS ENTERPRISES","Chennai","vinoth",NULL
3401,"Sea Import","","International","FCL","0","0.000","0.000","0.000","Port-to-Port","","","","","New York(USNYC)","New York(USNYC)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)",3401,"Shubham traders","Mumbai","Shubham Patil",NULL
3402,"Air Export","","International","Loose","0","0.000","0.000","0.000","Door-to-Door","Air India","CEBU","14","Manila(PHMNL)","Manila(PHMNL)","Manila(PHMNL)","Singapore(SGSIN)","Singapore(SGSIN)","Singapore(SGSIN)",3402,"SAMSUNG INDIA PVT LTD","Manila","Angelica Tumbaga",NULL
3403,"Air Export","","International","Loose","0","0.000","0.000","0.000","Door-to-Door","","","","Manila(PHMNL)","Manila(PHMNL)","Manila(PHMNL)","Singapore(SGSIN)","Singapore(SGSIN)","Singapore(SGSIN)",3403,"SAMSUNG INDIA PVT LTD","Manila","Angelica Tumbaga",NULL
3404,"Sea Export","","International","FCL","2","200.000","240.000","240000.000","Door-to-Door","Able Container Line","Chicago","20","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Chicago(USCHI)","Chicago(USCHI)","Chicago(USCHI)",3404,"4S JINAL PRODUCTS PRIVATE LIMITED - TEST","Delhi",NULL,"Aarti Parmar"
3404,"Sea Export","","International","FCL","0","200.000","240.000","240000.000","Door-to-Door","C G M","Chicago","20","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Chicago(USCHI)","Chicago(USCHI)","Chicago(USCHI)",3404,"4S JINAL PRODUCTS PRIVATE LIMITED - TEST","Delhi",NULL,"Aarti Parmar"
